,Country,City,Latitude,Longitude,Temperature (F),Relative Humidity (%),Cloudiness (%),Wind Speed (mph)
0,mr,atar,20.52,-13.05,93.23,10,0,5.1
1,pf,rikitea,-23.12,-134.97,71.45,80,100,22.73
2,us,lompoc,34.64,-120.46,71.55,32,20,10.29
3,bs,dunmore town,25.5,-76.65,80.99,79,41,17.41
4,ru,chokurdakh,70.62,147.9,20.27,84,98,12.44
5,ar,ushuaia,-54.81,-68.31,39.2,69,0,9.17
6,no,floro,61.6,5.03,34.21,81,0,9.17
7,sc,victoria,5.28,115.24,83.14,74,75,6.93
8,br,touros,-5.2,-35.46,75.2,83,20,8.05
9,ca,tuktoyaktuk,69.44,-133.03,33.8,95,90,23.04
10,pf,fare,-16.7,-151.02,78.95,74,47,10.45
11,in,chatrapur,19.35,84.98,73.79,86,13,2.33
12,gl,qaanaaq,77.48,-69.36,26.75,70,100,8.41
13,mx,pochutla,15.74,-96.47,79.0,88,90,5.82
14,ca,thompson,55.74,-97.86,42.8,100,90,3.87
15,tr,hakkari,61.34,23.75,28.56,92,75,2.24
16,ua,babanka,48.71,30.45,42.99,84,0,6.63
17,pf,avera,33.19,-82.53,71.02,77,90,5.82
18,ru,kedrovyy,56.17,91.82,44.6,87,75,0.94
19,nz,takaka,-40.86,172.81,55.99,60,70,1.01
20,us,barrow,-38.31,-60.23,41.85,91,0,3.98
21,gr,tecozautla,20.53,-99.63,69.8,46,75,10.29
22,mx,billings,45.79,-108.5,47.39,42,40,19.46
23,us,busselton,-33.64,115.35,54.43,94,84,1.01
24,au,kieta,-6.22,155.63,84.23,70,0,8.81
25,pg,bitung,1.44,125.19,87.8,58,20,2.24
26,id,manggar,-2.88,108.27,80.14,73,98,7.25
27,id,mount gambier,-37.83,140.78,57.2,93,90,19.46
28,au,bonavista,48.65,-53.11,41.0,78,97,13.0
29,ca,albany,42.65,-73.75,40.26,75,20,2.39
30,au,georgetown,6.8,-58.16,80.17,94,20,2.24
31,sh,labuhan,-2.54,115.51,81.44,66,4,0.46
32,id,kapaa,22.08,-159.32,84.96,66,20,18.34
33,us,saint-philippe,45.36,-73.48,41.31,100,1,5.88
34,re,ponta do sol,-20.63,-46.0,74.29,54,8,11.65
35,cv,bredasdorp,-34.53,20.04,50.0,81,43,4.7
36,za,airai,-8.93,125.41,83.42,35,14,3.0
37,pw,vikersund,59.97,9.99,29.25,92,75,2.24
38,no,puerto ayora,-0.74,-90.35,68.31,73,0,19.46
39,ec,pansemal,21.66,74.7,77.41,81,25,1.23
40,in,hobart,-42.88,147.33,63.64,55,75,10.29
41,tj,ambilobe,-13.19,49.05,73.25,83,0,8.08
42,au,provideniya,64.42,-173.23,32.37,90,98,10.33
43,mg,hermanus,-34.42,19.24,55.99,85,66,10.96
44,mg,jamestown,-33.21,138.6,65.58,47,0,14.35
45,ru,porto novo,-23.68,-45.44,73.4,56,0,8.05
46,za,half moon bay,37.46,-122.43,73.38,27,1,16.11
47,sh,mushie,-3.02,16.92,72.38,91,74,3.53
48,cv,upernavik,72.79,-56.15,33.02,98,100,7.23
49,us,hilo,19.71,-155.08,77.11,55,40,8.05
50,cd,cape town,-33.93,18.42,53.42,87,0,1.12
51,gl,rio grande,-32.03,-52.1,55.99,91,100,3.0
52,us,betong,5.77,101.07,70.4,96,100,2.04
53,za,saskylakh,71.97,114.09,13.67,91,58,3.4
54,br,mataura,-46.19,168.86,54.0,69,93,5.99
55,th,dunaujvaros,46.98,18.93,49.8,93,75,11.41
56,ru,black river,18.03,-77.85,77.0,83,20,9.17
57,pf,cherskiy,68.75,161.3,21.01,92,100,12.53
58,hu,hirara,24.8,125.28,83.32,65,20,13.87
59,gl,hervey bay,-25.3,152.85,82.58,47,11,4.7
60,jm,dikson,73.51,80.55,22.9,73,3,13.04
61,ru,cabo san lucas,22.89,-109.91,82.53,61,5,9.17
62,ru,hambantota,6.12,81.12,75.2,100,75,7.63
63,jp,kutum,14.2,24.66,68.96,81,76,22.59
64,au,omboue,-1.57,9.26,78.12,85,92,13.31
65,ru,kargasok,59.06,80.87,44.61,98,92,6.26
66,mx,nanortalik,60.14,-45.24,41.39,80,56,3.78
67,ca,muravlenko,63.79,74.5,48.51,96,100,20.13
68,lk,butaritari,3.07,172.79,85.02,63,68,4.81
69,sd,kloulklubed,7.04,134.26,84.2,74,75,6.93
70,ga,santa vitoria do palmar,-33.52,-53.37,51.41,86,100,8.34
71,ru,coquimbo,-29.95,-71.34,53.6,81,0,4.7
72,kz,iralaya,15.0,-83.23,86.0,79,75,11.41
73,gl,vaini,15.34,74.49,68.0,100,90,3.36
74,ru,palafrugell,41.92,3.16,60.8,93,75,2.24
75,ki,longyearbyen,78.22,15.63,35.6,80,75,18.34
76,pw,sfantu gheorghe,44.65,26.83,49.53,100,100,5.82
77,br,preobrazheniye,42.9,133.91,50.53,35,0,0.72
78,cl,east london,-33.02,27.91,65.24,36,0,4.18
79,wf,sao jose da coroa grande,-8.9,-35.15,69.27,93,6,3.2
80,hn,vostok,46.45,135.83,44.7,49,0,5.3
81,to,vanimo,-2.67,141.3,81.74,74,84,8.32
82,ru,husavik,50.56,-96.99,42.01,92,100,7.0
83,es,torbay,47.66,-52.73,39.58,86,90,13.87
84,zm,kondinskoye,59.65,67.41,49.32,87,52,12.12
85,sj,fairbanks,64.84,-147.72,33.01,74,75,5.82
86,ro,bubaque,11.28,-15.83,81.83,75,16,6.38
87,ru,cap malheureux,-19.98,57.61,70.79,94,40,2.24
88,za,port lincoln,-34.72,135.86,57.87,88,32,16.69
89,br,moose factory,51.26,-80.61,48.2,66,1,10.29
90,ru,lishan,24.07,102.75,56.94,98,63,2.39
91,pg,punta arenas,-53.16,-70.91,44.26,75,75,14.99
92,is,ratnagiri,16.98,73.3,83.33,74,90,7.16
93,ca,beoumi,7.67,-5.58,71.16,98,49,5.19
94,ru,avarua,-21.21,-159.78,73.4,49,100,8.05
95,us,okhotsk,59.36,143.24,29.25,47,0,14.32
96,gw,mahebourg,-20.41,57.7,70.63,94,40,2.24
97,mu,sorland,67.67,12.69,45.8,68,100,13.56
98,au,hasaki,35.73,140.83,69.89,78,75,16.11
99,ca,tuatapere,-46.13,167.69,54.0,70,100,5.99
100,cn,marystown,47.17,-55.16,38.07,70,51,14.88
101,cl,ukiah,39.15,-123.21,73.08,24,1,4.7
102,in,port alfred,-33.59,26.89,63.0,95,0,11.01
103,ci,ahipara,-35.17,173.16,69.01,84,87,5.99
104,ck,atuona,-9.8,-139.03,80.14,74,0,17.16
105,ru,champerico,16.38,-93.6,77.0,78,75,5.82
106,mu,tempio pausania,40.9,9.1,64.4,72,0,9.17
107,no,agadez,16.97,7.99,91.4,17,1,3.22
108,jp,lebu,8.96,38.73,57.2,87,75,4.7
109,nz,kurilsk,45.23,147.88,49.02,63,30,18.03
110,ca,ballina,54.11,-9.15,51.04,94,95,1.99
111,us,castro,-42.48,-73.76,46.4,81,20,10.29
112,za,nikolskoye,59.7,30.79,30.52,92,75,4.47
113,nz,katsuura,33.93,134.5,73.54,69,75,20.8
114,pf,carnarvon,-30.97,22.13,63.1,12,0,7.72
115,tv,alice springs,-23.7,133.88,89.6,8,0,13.87
116,gt,chiang klang,19.29,100.86,73.4,100,20,4.7
117,it,mbuji-mayi,-6.13,23.6,71.63,78,2,1.95
118,ru,lorengau,-2.02,147.27,84.75,65,15,4.32
119,ne,saldanha,41.42,-6.55,56.13,64,55,3.57
120,cl,salalah,17.01,54.1,78.8,83,20,4.7
121,ru,kisaran,2.98,99.62,74.24,92,92,1.7
122,au,wanning,48.64,13.53,42.28,87,75,4.7
123,cl,acapulco,16.86,-99.88,82.4,78,75,4.7
124,ru,pangai,-19.8,-174.35,77.0,61,75,14.99
